/home/pi/Music/Hireso/GLAY/17-0004404901.flac	 GLAY	 DRIVE -GLAY complete BEST-	 HAPPINESS	70
/home/pi/Music/Hireso/GLAY/18-0004404902.flac	 GLAY	 DRIVE -GLAY complete BEST-	 サバイバル	70
/home/pi/Music/Hireso/GLAY/19-0004404903.flac	 GLAY	 DRIVE -GLAY complete BEST-	 pure soul	70
/home/pi/Music/Hireso/GLAY/20-0004404909.flac	 GLAY	 DRIVE -GLAY complete BEST-	 BE WITH YOU	70
/home/pi/Music/Hireso/GLAY/21-0004404928.flac	 GLAY	 DRIVE -GLAY complete BEST-	 Winter, again	70
/home/pi/Music/Hireso/GLAY/22-0004404929.flac	 GLAY	 DRIVE -GLAY complete BEST-	 春を愛する人	70
/home/pi/Music/Hireso/GLAY/23-0004404930.flac	 GLAY	 DRIVE -GLAY complete BEST-	 SPECIAL THANKS	70
/home/pi/Music/Hireso/GLAY/24-0004404933.flac	 GLAY	 DRIVE -GLAY complete BEST-	 Missing You	70
/home/pi/Music/Hireso/GODIEGO/0008028068.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ビューティフル・ネーム (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028070.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ガンダーラ (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028071.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 銀河鉄道999 (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028072.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 ホーリー&ブライト (24bit/96kHz)	70
/home/pi/Music/Hireso/GODIEGO/0008028073.flac	 GODIEGO	 GODIEGO GREAT BEST Vol.1 -Japanese Version- (24bit/96kHz)	 リターン・トゥ・アフリカ (24bit/96kHz)	70
